nome,artista,idioma,letra
Powerslave,Iron Maiden,Inglês,"Música: Powerslave
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Into the abyss I'll fall, the eye of Horus
Into the eyes of the night, watching me go
Green is the cat's eye that glows in this Temple
Enter the risen Osiris, risen again

Tell me why I had to be a Powerslave
I don't wanna die, I'm a god
Why can't I live on?
When the Life Giver dies
All around is laid waste
And in my last hour
I'm a slave to the Power of Death

When I was living this lie, fear was my game
People would worship and fall, drop to their knees
So bring me the blood and red wine, for the one to succeed me
For he is a man and a god and he will die too

Tell me why I had to be a Powerslave
I don't wanna die, I'm a god
Why can't I live on?
When the Life Giver dies
All around is laid waste
And in my last hour
I'm a slave to the Power of Death



Now I am cold, but a ghost lives in my veins
Silent, the terror that reigned, marbled in stone
A shell of a man God preserved, for a thousand ages
But open the gates of my hell, I'll strike from the grave

Tell me why I had to be a Powerslave
I don't wanna die, I'm a god
Why can't I live on?
When the Life Giver dies
All around is laid waste
And in my last hour
I'm a slave to the Power of Death

Slave to the Power of Death...
Slave to the Power of Death!"
Rime of the Ancient Mariner,Iron Maiden,Inglês,"Música: Rime of the Ancient Mariner
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Hear the rime of the Ancient Mariner
See his eye as he stops one of three
Mesmerises one of the wedding guests
Stay here and listen to the nightmares of the sea
And the music plays on, as the bride passes by
Caught by his spell, and the Mariner tells his tale

Driven south to the land of the snow and ice
To a place where nobody's been
Through the snow, fog flies on the albatross
Hailed in God's name, hoping good luck it brings
And the ship sails on, back to the north
Through the fog and ice and the albatross follows on

The Mariner kills the bird of good omen
His shipmates cry against what he's done
But when the fog clears, they justify him
And make themselves a part of the crime

Sailing on and on and north across the sea
Sailing on and on and north till all is calm

The albatross begins with its vengeance
A terrible curse, a thirst has begun
His shipmates blame bad luck on the Mariner
About his neck, the dead bird is hung

And the curse goes on and on and on at sea
And the thirst goes on and on for them and me

""Day after day, day after day
We stuck nor breath nor motion
As idle as a painted ship upon a painted ocean
Water, water everywhere
And all the boards did shrink
Water, water everywhere
Nor any drop to drink""


""There,"" calls the Mariner
""There comes a ship over the line
But how can she sail
With no wind in her sails and no tide?""
See... Onward she comes
Onward she nears, out of the sun
See... She has no crew
She has no life; wait, but there's two

Death and she, Life-in-Death
They throw their dice for the crew
She wins the Mariner
And he belongs to her now
Then... crew one by one
They drop down dead, two hundred men
She... She, Life-in-Death
She lets him live, her chosen one



""One after one, by the star-dogged Moon
Too quick for groan or sigh
Each turned his face with a ghastly pang
And cursed me with his eye
Four times fifty living men
(And I heard nor sigh nor groan)
With heavy thump, a lifeless lump
They dropped down one by one.""


The curse, it lives on in their eyes
The Mariner, he wished he'd die
Along with the sea creatures
But they lived on, so did he
And by the light of the moon
He prays for their beauty, not doom
With heart, he blesses them
God's creatures, all of them, too
Then the spell starts to break
The albatross falls from his neck
Sinks down like lead into the sea
Then down in falls comes the rain




Hear the groans of the long-dead seamen
See them stir and they start to rise
Bodies lifted by good spirits
None of them speak, and they're lifeless in their eyes
And revenge still is sought, penance starts again
Cast into a trance, and the nightmare carries on

Now the curse is finally lifted
And the Mariner sights his home
Spirits go from the long-dead bodies
Form their own light, and the Mariner's left alone

And then a boat came sailing towards him
It was a joy he could not believe
The Pilot's boat, his son, and the Hermit
Penance of life will fall onto him

And the ship, it sinks like lead into the sea
And the Hermit shrieves the Mariner of his sins

The Mariner's bound to tell of his story
To tell this tale wherever he goes
To teach God's word by his own example
That we must love all things that God made

And the wedding guest's a sad and wiser man
And the tale goes on and on and on and on"
Children of the Damned,Iron Maiden,Inglês,"Música: Children of the Damned
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

He's walking like a small child
But watch his eyes burn you away
Black holes in his golden stare
God knows he wants to go home

Children of the damned
Children of the damned
Children of the damned
Children of the damned

He's walking like a dead man
If he had lived he would've crucified us all
Now he's standing on his last step
He thought, ""Oblivion? Well, it beckons us all""

Children of the damned
Children of the damned
Children of the damned
Children of the damned

Now it's burning his hands, he's turning to laugh
Smiles as the flame sears his flesh
Melting his face, screaming in pain
Peeling the skin from his eyes
Watch him die according to plan
He's dust on the ground, what did we learn?

Oh, oh-oh-oh-oh-oh
Oh, oh-oh-oh-oh-oh
Oh, oh-oh-oh-oh-oh
Oh, oh-oh-oh-oh-oh
Oh, oh-oh-oh-oh-oh
Oh, oh-oh-oh-oh-oh
Oh, oh-oh-oh-oh-oh
Oh, oh-oh-oh-oh-oh

You're children of the damned
Your backs' against the wall
You turn into the light
You're burning in the night
You're children of the damned
Like candles, watch them burn
Burning in the light
You'll burn again tonight
Children of the damned"
Flight of Icarus,Iron Maiden,Inglês,"Música: Flight of Icarus
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

As the sun breaks above the ground
An old man stands on the hill
As the ground warms to the first rays of light
A birdsong shatters the still

His eyes are ablaze
See the madman in his gaze

Fly on your way, like an eagle
Fly as high as the sun
On your way, like an eagle
Fly, touch the sun, yeah

Now the crowd breaks and a young boy appears
Looks the old man in the eye
As he spreads his wings and shouts at the crowd
""In the name of God, my father, I'll fly""

His eyes seem so glazed
As he flies on the wings of a dream
Now he knows his father betrayed
Now his wings turn to ashes, to ashes his grave

Fly on your way, like an eagle
Fly as high as the sun
On your way, like an eagle
Fly, touch the sun

Yeah!

Fly, on your way, like an eagle
Fly as high as the sun
On your way, like an eagle
Fly as high as the sun
On your way, like an eagle
Fly, touch the sun
On your way, like an eagle
Fly...


Fly as high as the sun"
Dance of Death,Iron Maiden,Inglês,"Música: Dance of Death
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Let me tell you a story to chill the bones
'bout a thing that I saw
One night wandering in the Everglades
I'd one drink, but no more
I was rambling, enjoying the bright moonlight
Gazing up at the stars
Not aware of a presence so near to me
Watching my every move

Feeling scared, and I fell to my knees
As something rushed me from the trees
Took me to an unholy place
And that is where I fell from grace
Then they summoned me over to join in with them
To the dance of the dead
Into the circle of fire, I followed them
Into the middle, I was led

As if time had stopped still, I was numb with fear
But still, I wanted to go
And the blaze of the fire did no hurt upon me
As I walked onto the coals
Then I felt I was in a trance
And my spirit was lifted from me
And if only someone had the chance
To witness what happened to me

And I danced, and I pranced, and I sang with them
All had death in their eyes
Lifeless figures; they were undead, all of them
They had ascended from hell

As I danced with the dead, my free spirit
Was laughing and howling down at me
Below, my undead body
Just danced the circle of death
Until the time came to reunite us both
My spirit came back down to me
I didn't know if I was alive or dead
As the others all joined in with me

By luck, then a skirmish started
And took the attention away from me
When they took their gaze from me
Was the moment that I fled
I ran like hell, faster than the wind
But behind I did not glance
One thing that I did not dare
Was to look just straight ahead


When you know that your time has come around
You know you'll be prepared for it
Say your last goodbyes to everyone
And drink and say a prayer for it


When you're lying in your sleep
When you're lying in your bed
And you wake from your dreams
To go dancing with the dead
When you're lying in your sleep
When you're lying in your bed
And you wake from your dreams
To go dancing with the dead

To this day, I guess I'll never know
Just why they let me go
But I'll never go dancing no more
Till I dance with the dead"
Brave New World,Iron Maiden,Inglês,"Música: Brave New World
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Dying swans, twisted wings
Beauty not needed here
Lost my love, lost my life
In this garden of fear
I have seen many things
In a lifetime alone
Mother love is no more
Bring this savage back home

Wilderness, house of pain
Makes no sense of it all
Close this mind, dull this brain
Messiah before his fall
What you see is not real
Those who know will not tell
All is lost, sold your souls
To this brave new world

A brave new world
In a brave new world
A brave new world
In a brave new world
In a brave new world
A brave new world
In a brave new world
A brave new world

Dragon kings, dying queens
Where is salvation now?
Lost my life, lost my dreams
Rip the bones from my flesh
Silent screams laughing here
Dying to tell you the truth
You are planned and you are damned
In this brave new world

A brave new world
In a brave new world
A brave new world
In a brave new world
In a brave new world
A brave new world
In a brave new world
A brave new world
A brave new world
In a brave new world
A brave new world
In a brave new world
In a brave new world
A brave new world
In a brave new world
A brave new world

Dying swans, twisted wings
Bring this savage back home"
Blood Brothers,Iron Maiden,Inglês,"Música: Blood Brothers
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

And if you're taking a walk through the garden of life
What do you think you'd expect you would see?
Just like a mirror reflecting the moves of your life
And in the river, reflections of me

Just for a second, a glimpse of my father I see
And in a movement, he beckons to me
And in a moment, the memories are all that remain
And all the wounds are reopening again

We're blood brothers
We're blood brothers
We're blood brothers
We're blood brothers

And as you look all around at the world in dismay
What do you see, do you think we have learned?
Not if you're taking a look at the war-torn affray
Out in the streets where the babies are burnt

We're blood brothers
We're blood brothers
We're blood brothers
We're blood brothers

There are times when I feel I'm afraid for the world
There are times I'm ashamed of us all
When you're floating on all the emotion you feel
And reflecting the good and the bad

Will we ever know what the answer to life really is?
Can you really tell me what life is?
Maybe all the things that you know that are precious to you
Could be swept away by fate's own hand

We're blood brothers
We're blood brothers
We're blood brothers
We're blood brothers


When you think that we've used all our chances
And the chance to make everything right
Keep on making the same old mistakes
Makes untipping the balance so easy
When we're living our lives on the edge
Say a prayer on the book of the dead


We're blood brothers
We're blood brothers
We're blood brothers
We're blood brothers
We're blood brothers
We're blood brothers
We're blood brothers
We're blood brothers

And if you're taking a walk through the garden of life"
The Wicker Man,Iron Maiden,Inglês,"Música: The Wicker Man
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Hand of fate is moving and the finger points to you
He knocks you to your feet and so what are you gonna do?
Your tongue has frozen now, you've got something to say
The piper at the gates of dawn is calling you his way

You watch the world exploding every single night
Dancing in the sun, a newborn in the light
Say goodbye to gravity and say goodbye to death
Hello to eternity and live for every breath

Your time will come
Your time will come
Your time will come
Your time will come

The ferryman wants his money, you ain't gonna give it back
He can push his own boat as you set off up the track
Nothing you can contemplate will ever be the same
Every second is a new spark, sets the universe aflame

You watch the world exploding every single night
Dancing in the sun, a newborn in the light
Brothers and their fathers joining hands and make a chain
The shadow of the wicker man is rising up again

Your time will come
Your time will come
Your time will come
Your time will come


Your time will come
Your time will come
Your time will come
Your time will come
Your time will come
Your time will come
Your time will come
Your time will come

Whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa
Whoa, whoa, whoa, whoa"
Different World,Iron Maiden,Inglês,"Música: Different World
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

You lead me on the path, keep showing me the way
I feel a little lost, a little strange today
I think I'll take a hold of whatever comes my way
Then we'll see what happens, take it day-by-day

I thought I had it all, I had it all worked out
Just what the future held, that there would be no doubt
But then the card came up and I took another turn
But I don't know if it's fulfillment that I yearn

Tell me what you can hear
And then tell me what you see
Everybody has a different way
To view the world
I would like you to know
When you see the simple things
To appreciate this life
It's not too late to learn

Don't wanna be here
Somewhere I'd rather be
But when I get there
I might find it's not for me

Tell me what you can hear
And then tell me what you see
Everybody has a different way
To view the world
I would like you to know
When you see the simple things
To appreciate this life
It's not too late to learn


Tell me what you can hear
And then tell me what you see
Everybody has a different way
To view the world
I would like you to know
When you see the simple things
To appreciate this life
It's not too late to learn

Don't wanna be here
Somewhere I'd rather be
But when I get there
I might find it's not for me

Don't know what I want
Or where I want to be
Feeling more confused
The more the days go by"
Phantom of the Opera,Iron Maiden,Inglês,"Música: Phantom of the Opera
Artista: Iron Maiden
Fonte: Genius.com
--------------------------------------------------

Oh-woah, yeah!

I've been looking so long for you now
You won't get away from my grasp
You've been living so long in hiding
And hiding behind that false mask
And you know that I know that you ain't got that long to last
Your looks and your feelings are just the remains of your past

You're standing in the wings there, you wait for the curtain to fall
And knowing the terror and holding you have on us all
Now, I know that you're gonna
Scratch me and maim me and maul
And you know I'm helpless from your mesmerising catcall
Ooh

Keep your distance, walk away, don't take his bait
Don't you stray, don't fade away, yeah
Watch your step, he's out to get you, come what may
Don't you stray from the narrow way, yeah



I'm running and hiding, in my dreams, you're always there
You're the Phantom of the Opera
You're the devil, you're just out to scare
You damaged my mind and my soul, it just floats through the air
You haunt me, you taunt me, you torture me back at your lair

Torture me back at your lair"
Enter Sandman,Metallica,Inglês,"Música: Enter Sandman
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Say your prayers, little one, don't forget, my son
To include everyone
I tuck you in, warm within, keep you free from sin
'Til the Sandman, he comes

Sleep with one eye open
Gripping your pillow tight

Exit light
Enter night
Take my hand
We're off to never-never land

Something's wrong, shut the light, heavy thoughts tonight
And they aren't of Snow White
Dreams of war, dreams of liars, dreams of dragons' fire
And of things that will bite, yeah

Sleep with one eye open
Gripping your pillow tight

Exit light
Enter night
Take my hand
We're off to never-never land
Yeah


Now, I lay me down to sleep
Now, I lay me down to sleep
Pray the Lord my soul to keep
Pray the Lord my soul to keep
If I die before I wake
If I die before I wake
Pray the Lord my soul to take
Pray the Lord my soul to take
Hush little baby, don't say a word
And never mind that noise you heard
It's just the beasts under your bed
In your closet, in your head

Exit light
Enter night
Grain of sand
Exit light
Enter night
Take my hand
We're off to never-never land
(Yeah, haha haha)

Oh, yeah-yeah, yo-oh
We're off to never-never land
Take my hand
We're off to never-never land
Take my hand
We're off to never-never land
We're off to never-never land
We're off to never-never land
We're off to never-never land"
Master of Puppets,Metallica,Inglês,"Música: Master of Puppets
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

End of passion play, crumbling away
I'm your source of self-destruction
Veins that pump with fear, sucking darkest clear
Leading on your death's construction

Taste me, you will see
More is all you need
Dedicated to
How I'm killing you

Come crawling faster
Obey your master
Your life burns faster
Obey your master, master

Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master

Needlework the way, never you betray
Life of death becoming clearer
Pain monopoly, ritual misery
Chop your breakfast on a mirror

Taste me, you will see
More is all you need
Dedicated to
How I'm killing you

Come crawling faster
Obey your master
Your life burns faster
Obey your master, master

Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master (Master, master, master, master)



Master, master
Where's the dreams that I've been after?
Master, master
You promised only lies
Laughter, laughter
All I hear or see is laughter
Laughter, laughter
Laughing at my cries
Fix me



Hell is worth all that, natural habitat
Just a rhyme without a reason
Never-ending maze, drift on numbered days
Now your life is out of season

I will occupy
I will help you die
I will run through you
Now I rule you too

Come crawling faster
Obey your master
Your life burns faster
Obey your master, master

Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master"
One,Metallica,Inglês,"Música: One
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

Goddamn coward! Get your ass out of that trench!
Move, move, move, move, move!
Get out of here! Oh, fuck!
We're all fucking trapped here, we're all fucking trapped here!


I can't remember anything
Can't tell if this is true or a dream
Deep down inside, I feel the scream
This terrible silence stops me
Now that the war is through with me
I'm waking up, I cannot see
That there's not much left of me
Nothing is real but pain now

Hold my breath as I wish for death
Oh, please, God, wake me

Back in the womb, it's much too real
In pumps life that I must feel
But can't look forward to reveal
Look to the time when I'll live
Fed through the tube that sticks in me
Just like a wartime novelty
Tied to machines that make me be
Cut this life off from me

Hold my breath as I wish for death
Oh, please, God, wake me


Now the world is gone, I'm just one
Oh, God, help me
Hold my breath as I wish for death
Oh, please, God, help me


Darkness, imprisoning me
All that I see, absolute horror
I cannot live, I cannot die
Trapped in myself, body my holding cell
Landmine has taken my sight
Taken my speech, taken my hearing
Taken my arms, taken my legs
Taken my soul, left me with life in Hell"
Nothing Else Matters,Metallica,Inglês,"Música: Nothing Else Matters
Artista: Metallica
Fonte: Genius.com
--------------------------------------------------

So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
And nothing else matters

Never opened myself this way
Life is ours, we live it our way
All these words, I don't just say
And nothing else matters
Trust I seek and I find in you
Every day for us something new
Open mind for a different view
And nothing else matters

Never cared for what they do
Never cared for what they know
But I know

So close, no matter how far
It couldn't be much more from the heart
Forever trusting who we are
And nothing else matters

Never cared for what they do
Never cared for what they know
But I know


I never opened myself this way
Life is ours, we live it our way
All these words, I don't just say
And nothing else matters
Trust I seek and I find in you
Every day for us something new
Open mind for a different view
And nothing else matters

Never cared for what they say
Never cared for games they play
Never cared for what they do
Never cared for what they know
And I know, yeah, yeah


So close, no matter how far
Couldn't be much more from the heart
Forever trusting who we are
No, nothing else matters"
